               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098358,            0.033485,            0.046258,           0.0055845,             0.31681,           0.0083654,           0.0014436,            0.062044,            0.024968,            0.035624,              0.0811,              0.0021,              0.0021
                   1,            0.081866,            0.033792,            0.039262,            0.042885,             0.14929,            0.067774,            0.034651,            0.054052,            0.022334,            0.028569,            0.061215,           0.0042149,           0.0042149
                   2,            0.061289,            0.027972,            0.037116,             0.63855,            0.083872,              0.1369,            0.042021,            0.050285,             0.01924,            0.026509,            0.041243,           0.0062426,           0.0062426
                   3,            0.060142,            0.027212,            0.030398,             0.50481,             0.27412,             0.25556,             0.10374,            0.048263,            0.016761,            0.021936,            0.021183,           0.0081832,           0.0081832
                   4,            0.065495,            0.023098,            0.028426,             0.45181,             0.25024,             0.32033,             0.13094,            0.042994,            0.015862,             0.02232,            0.009208,            0.009208,            0.009208
                   5,             0.06348,            0.024143,            0.026249,             0.30727,             0.52596,             0.32158,             0.14854,            0.042729,            0.014517,            0.018369,            0.009208,            0.009208,            0.009208
                   6,            0.059305,            0.023565,            0.023427,             0.32526,             0.46536,             0.37626,             0.15205,            0.041378,            0.014454,            0.017806,             0.00901,             0.00901,             0.00901
                   7,            0.054788,            0.023639,            0.020879,             0.33605,             0.43549,             0.31856,             0.11954,             0.04656,             0.01303,            0.019522,            0.008812,            0.008812,            0.008812
                   8,            0.059811,            0.020731,            0.018777,             0.44107,              0.4898,             0.45959,             0.21994,            0.040021,             0.01259,            0.017657,            0.008614,            0.008614,            0.008614
                   9,            0.051577,            0.023186,            0.019206,             0.48837,             0.56229,             0.55062,             0.26751,            0.043264,            0.012149,            0.019568,            0.008416,            0.008416,            0.008416
                  10,            0.050016,            0.022535,            0.017718,             0.36628,             0.62858,             0.45641,             0.21297,            0.041722,             0.01117,            0.016283,            0.008218,            0.008218,            0.008218
                  11,            0.054806,            0.019081,            0.016476,             0.53888,             0.68248,             0.63267,             0.26862,            0.040012,            0.011499,            0.012619,             0.00802,             0.00802,             0.00802
                  12,            0.052621,            0.020396,            0.016792,              0.5864,             0.61324,             0.60445,             0.26746,            0.045668,            0.011733,            0.011825,            0.007822,            0.007822,            0.007822
                  13,            0.047363,             0.02051,            0.013506,             0.48253,              0.6496,             0.60675,             0.31673,            0.039444,            0.011939,           0.0094889,            0.007624,            0.007624,            0.007624
                  14,             0.04854,            0.020811,            0.016655,             0.66737,             0.70576,             0.73037,              0.3739,            0.037451,            0.012256,           0.0092114,            0.007426,            0.007426,            0.007426
                  15,            0.049449,            0.020117,            0.012936,             0.57828,             0.69033,             0.67829,             0.34742,            0.037338,              0.0115,           0.0092201,            0.007228,            0.007228,            0.007228
                  16,            0.045371,            0.019096,            0.014589,             0.72206,             0.74753,             0.76296,             0.37271,            0.035493,            0.011163,            0.010391,             0.00703,             0.00703,             0.00703
                  17,            0.044178,            0.019817,            0.013366,             0.80687,             0.72953,             0.84546,              0.4768,            0.032615,            0.010786,           0.0067611,            0.006832,            0.006832,            0.006832
                  18,            0.046284,            0.020608,            0.011779,             0.68789,             0.83233,              0.8078,             0.41544,            0.032964,            0.010636,            0.007094,            0.006634,            0.006634,            0.006634
                  19,            0.044145,            0.019629,            0.011953,             0.79107,             0.74296,              0.8119,             0.46113,            0.033561,            0.010741,           0.0073522,            0.006436,            0.006436,            0.006436
                  20,            0.047035,            0.020989,            0.012537,             0.68987,             0.80737,             0.81635,             0.44676,            0.034375,            0.010327,           0.0063185,            0.006238,            0.006238,            0.006238
                  21,            0.042448,            0.017973,            0.012874,             0.60703,             0.77358,             0.78886,             0.47588,            0.032519,            0.010408,           0.0066756,             0.00604,             0.00604,             0.00604
                  22,            0.041392,            0.016206,            0.010984,             0.72143,             0.78735,             0.84824,             0.52235,            0.029249,            0.010606,           0.0055197,            0.005842,            0.005842,            0.005842
                  23,            0.043238,            0.021357,           0.0095607,             0.77253,              0.8094,             0.84795,              0.5314,            0.031322,            0.010297,           0.0059591,            0.005644,            0.005644,            0.005644
                  24,            0.043537,            0.019531,           0.0086987,             0.85233,             0.79995,             0.86024,             0.53771,            0.029942,            0.010385,           0.0058733,            0.005446,            0.005446,            0.005446
                  25,             0.04072,              0.0178,            0.012504,             0.81109,             0.77963,             0.84397,             0.48456,            0.033832,            0.010806,           0.0050503,            0.005248,            0.005248,            0.005248
                  26,            0.034903,            0.017013,             0.01182,             0.79013,             0.79725,             0.87163,             0.51574,            0.032063,             0.01038,           0.0042128,             0.00505,             0.00505,             0.00505
                  27,            0.036813,             0.01653,           0.0063083,             0.86153,             0.83115,             0.89481,             0.52319,            0.030482,           0.0099504,            0.003598,            0.004852,            0.004852,            0.004852
                  28,            0.038576,             0.01891,           0.0082791,             0.71393,             0.83055,             0.81768,             0.43103,             0.03334,            0.011528,           0.0043099,            0.004654,            0.004654,            0.004654
                  29,            0.032891,            0.017379,           0.0068381,             0.79929,             0.84642,             0.85581,             0.55458,            0.028581,            0.010776,            0.004455,            0.004456,            0.004456,            0.004456
                  30,            0.033703,            0.017685,           0.0064236,             0.75819,             0.83638,             0.86056,             0.58412,            0.028527,            0.010579,           0.0054302,            0.004258,            0.004258,            0.004258
                  31,            0.035125,            0.017485,           0.0068409,             0.82577,             0.84822,             0.86279,              0.6068,            0.029661,            0.010061,           0.0050008,             0.00406,             0.00406,             0.00406
                  32,             0.03824,             0.01806,           0.0092692,             0.93047,             0.81732,             0.88561,             0.58955,            0.031334,           0.0099575,           0.0045355,            0.003862,            0.003862,            0.003862
                  33,            0.037553,            0.018374,           0.0078268,             0.82976,             0.87188,             0.90046,             0.59676,            0.029084,            0.010227,           0.0035562,            0.003664,            0.003664,            0.003664
                  34,            0.035605,            0.017622,           0.0072031,               0.807,             0.88854,             0.88932,             0.58297,            0.027547,            0.010138,           0.0031922,            0.003466,            0.003466,            0.003466
                  35,            0.036484,            0.017843,           0.0086344,             0.84382,             0.86708,              0.8979,             0.57385,               0.028,            0.010092,           0.0029707,            0.003268,            0.003268,            0.003268
                  36,            0.033527,            0.016846,           0.0069072,             0.84316,             0.84947,              0.8916,             0.55224,            0.029262,            0.010361,           0.0029763,             0.00307,             0.00307,             0.00307
                  37,            0.034443,            0.018231,           0.0061163,             0.86934,             0.85872,             0.89352,             0.57741,            0.026733,             0.01061,           0.0029816,            0.002872,            0.002872,            0.002872
